Product,Category,Date,Price,Discount,Current_Stock,Lead_Time,Season,Demand
Gaming Keyboard,Gaming,2025-04-25,7001,20,449,9,Summer,128
Wireless Mouse,Accessories,2025-01-26,788,10,418,5,Winter,170
Laptop,Electronics,2025-10-09,44481,20,402,7,Monsoon,104
Wireless Mouse,Accessories,2025-09-08,1177,5,184,2,Winter,134
Wireless Mouse,Accessories,2025-08-17,332,10,225,5,Summer,166
External Hard Drive,Storage,2025-05-23,8354,5,250,9,Summer,107
Wireless Mouse,Accessories,2025-04-15,1159,5,95,5,Winter,126
Gaming Keyboard,Gaming,2026-07-13,6848,20,165,10,Monsoon,106
Keyboard,Accessories,2025-03-31,2095,10,491,2,Summer,100
Printer,Electronics,2026-08-28,16240,5,438,10,Winter,66
Headphones,Accessories,2026-03-09,4934,20,130,1,Winter,172
Smartphone,Electronics,2025-02-02,44914,5,439,5,Monsoon,63
Gaming Keyboard,Gaming,2025-01-31,6473,20,500,10,Winter,138
Headphones,Accessories,2025-04-06,2301,20,378,3,Winter,169
Headphones,Accessories,2025-08-12,2823,15,189,5,Monsoon,146
Printer,Electronics,2025-08-27,6384,20,190,1,Winter,116
Printer,Electronics,2026-06-02,18939,10,483,3,Winter,65
Monitor,Electronics,2026-09-09,24458,10,421,9,Winter,109
Wireless Mouse,Accessories,2025-01-28,1313,10,189,5,Monsoon,154
Smartphone,Electronics,2026-07-29,36203,0,455,4,Monsoon,60
Smartphone,Electronics,2025-07-23,11938,15,234,4,Summer,115
Headphones,Accessories,2026-07-13,4098,5,485,5,Monsoon,123
Headphones,Accessories,2026-03-06,1811,20,153,1,Summer,192
Smartphone,Electronics,2025-08-14,23315,5,432,3,Winter,86
Smartphone,Electronics,2026-04-05,19497,5,173,9,Winter,103
Keyboard,Accessories,2026-08-27,1343,10,324,4,Summer,112
Keyboard,Accessories,2025-10-12,1680,20,38,2,Monsoon,166
Gaming Keyboard,Gaming,2025-01-07,6343,15,361,2,Monsoon,106
External Hard Drive,Storage,2025-06-13,3053,5,134,8,Winter,101
Keyboard,Accessories,2026-03-09,1114,15,159,5,Summer,135
Headphones,Accessories,2025-12-15,3950,10,349,8,Summer,118
Headphones,Accessories,2025-10-12,2258,10,386,6,Monsoon,153
External Hard Drive,Storage,2025-06-09,7435,20,348,10,Monsoon,118
Headphones,Accessories,2025-08-09,1963,20,500,4,Monsoon,170
Gaming Keyboard,Gaming,2025-12-11,6562,15,308,7,Summer,106
Wireless Mouse,Accessories,2025-04-15,581,10,400,3,Winter,169
Smartphone,Electronics,2025-04-05,39596,0,298,5,Winter,89
Gaming Keyboard,Gaming,2026-01-25,6032,20,371,9,Monsoon,116
Laptop,Electronics,2025-04-10,67777,15,33,4,Winter,76
External Hard Drive,Storage,2026-01-03,8457,5,303,2,Summer,97
Printer,Electronics,2025-12-19,19890,20,350,9,Summer,97
Headphones,Accessories,2026-09-11,4728,20,377,7,Summer,133
External Hard Drive,Storage,2025-09-28,7283,15,481,8,Summer,118
Monitor,Electronics,2025-02-14,16364,0,207,3,Winter,95
Printer,Electronics,2026-04-16,10335,10,292,3,Monsoon,83
Laptop,Electronics,2026-07-04,62066,10,365,8,Monsoon,58
Printer,Electronics,2025-05-08,9178,20,166,9,Winter,116
Smartphone,Electronics,2026-01-23,15353,20,436,10,Winter,138
Printer,Electronics,2025-03-22,17347,15,262,4,Winter,84
Monitor,Electronics,2026-07-20,16923,0,448,9,Monsoon,49
Wireless Mouse,Accessories,2025-10-28,314,0,78,4,Summer,152
External Hard Drive,Storage,2026-01-06,4607,15,307,8,Summer,123
Keyboard,Accessories,2026-08-15,1925,0,401,3,Summer,104
Printer,Electronics,2025-07-16,17242,5,490,8,Summer,64
Wireless Mouse,Accessories,2025-03-13,1447,10,361,2,Summer,133
Wireless Mouse,Accessories,2025-02-16,1021,20,288,4,Winter,152
Printer,Electronics,2025-08-22,7752,10,408,7,Summer,84
Gaming Keyboard,Gaming,2025-10-24,7673,15,172,2,Summer,116
External Hard Drive,Storage,2025-03-23,6266,0,479,10,Monsoon,72
Smartphone,Electronics,2025-08-27,10690,10,144,3,Monsoon,91
Printer,Electronics,2025-04-14,5249,0,276,10,Monsoon,79
Wireless Mouse,Accessories,2026-01-25,1389,5,47,7,Summer,121
Keyboard,Accessories,2025-10-12,1624,5,153,9,Winter,108
Smartphone,Electronics,2026-04-10,32740,0,246,9,Summer,90
Printer,Electronics,2026-01-09,9710,20,228,2,Summer,121
Wireless Mouse,Accessories,2025-06-16,961,5,313,5,Winter,137
Smartphone,Electronics,2026-01-15,39341,0,125,5,Summer,90
Smartphone,Electronics,2025-12-30,18386,20,315,6,Monsoon,125
External Hard Drive,Storage,2025-08-03,5943,0,207,4,Summer,89
Gaming Keyboard,Gaming,2025-10-01,5596,10,293,10,Winter,104
Keyboard,Accessories,2025-03-15,2889,0,213,1,Monsoon,90
Smartphone,Electronics,2025-06-25,46122,20,269,5,Winter,105
Headphones,Accessories,2026-07-01,4362,0,455,3,Summer,97
Smartphone,Electronics,2025-09-08,14676,0,286,6,Summer,87
Smartphone,Electronics,2025-06-17,26673,0,305,5,Monsoon,88
Laptop,Electronics,2026-04-19,76926,10,94,8,Winter,87
Keyboard,Accessories,2026-01-24,1652,5,416,10,Monsoon,127
Keyboard,Accessories,2025-10-04,2759,10,152,4,Monsoon,85
Printer,Electronics,2026-07-25,7487,0,427,3,Summer,71
Laptop,Electronics,2025-08-13,59702,15,318,1,Summer,84
Printer,Electronics,2025-11-29,19348,15,268,5,Winter,78
External Hard Drive,Storage,2025-02-27,9975,10,283,3,Winter,107
Gaming Keyboard,Gaming,2025-08-23,3252,20,66,3,Monsoon,108
External Hard Drive,Storage,2025-02-02,3646,5,355,10,Monsoon,86
Printer,Electronics,2025-11-20,10625,20,191,6,Winter,129
Monitor,Electronics,2026-02-15,20557,10,43,8,Summer,83
External Hard Drive,Storage,2025-10-02,6113,20,129,6,Winter,143
Smartphone,Electronics,2025-03-09,46190,0,407,3,Monsoon,73
Laptop,Electronics,2025-08-05,68526,0,378,2,Summer,42
Wireless Mouse,Accessories,2026-08-04,957,0,469,7,Summer,116
Printer,Electronics,2025-11-19,9841,20,69,5,Monsoon,102
Headphones,Accessories,2025-08-06,4665,0,263,8,Winter,109
Wireless Mouse,Accessories,2026-05-27,569,0,241,3,Monsoon,148
Keyboard,Accessories,2026-02-10,2354,15,410,1,Winter,150
Headphones,Accessories,2026-04-15,1840,10,319,7,Monsoon,148
Gaming Keyboard,Gaming,2025-05-27,7705,20,299,5,Winter,113
Wireless Mouse,Accessories,2025-09-29,401,20,373,7,Summer,163
Headphones,Accessories,2025-05-23,2277,0,264,10,Summer,121
Headphones,Accessories,2025-09-10,3793,20,229,2,Monsoon,145
Printer,Electronics,2026-07-29,6740,20,63,9,Summer,120
Monitor,Electronics,2026-07-06,17608,15,388,6,Winter,101
Smartphone,Electronics,2025-09-27,35577,0,310,6,Monsoon,84
External Hard Drive,Storage,2026-08-22,7294,0,193,5,Summer,93
Wireless Mouse,Accessories,2026-03-15,1084,15,33,2,Winter,140
Laptop,Electronics,2026-08-21,79925,20,247,8,Summer,63
Printer,Electronics,2026-02-13,19393,15,191,3,Winter,108
Gaming Keyboard,Gaming,2026-01-06,3497,20,374,1,Monsoon,135
Keyboard,Accessories,2025-08-13,1429,5,317,4,Summer,123
Keyboard,Accessories,2025-05-22,989,15,184,10,Winter,149
Printer,Electronics,2026-06-06,18862,10,437,2,Winter,68
Laptop,Electronics,2026-05-21,66232,10,418,1,Monsoon,59
Wireless Mouse,Accessories,2025-04-04,319,20,260,10,Winter,190
Headphones,Accessories,2025-02-18,4240,10,275,8,Monsoon,120
Headphones,Accessories,2025-04-23,3935,20,435,1,Winter,157
Printer,Electronics,2025-06-06,11614,0,96,7,Winter,92
Gaming Keyboard,Gaming,2025-06-13,4107,20,228,6,Summer,141
Smartphone,Electronics,2026-03-09,34112,10,411,10,Monsoon,72
Smartphone,Electronics,2026-09-03,34710,15,36,10,Summer,103
Monitor,Electronics,2025-03-07,8420,20,255,6,Winter,135
Monitor,Electronics,2026-01-30,22116,10,249,9,Winter,87
Headphones,Accessories,2026-01-26,1415,0,332,10,Summer,148
Monitor,Electronics,2026-09-03,10226,5,254,2,Monsoon,61
Wireless Mouse,Accessories,2026-04-25,1202,0,63,9,Winter,141
Laptop,Electronics,2026-06-26,70481,15,312,6,Monsoon,59
Printer,Electronics,2025-09-15,10511,20,237,1,Monsoon,104
Laptop,Electronics,2026-07-21,55946,15,254,7,Winter,99
Printer,Electronics,2025-01-12,14866,5,385,6,Summer,47
Wireless Mouse,Accessories,2025-04-28,474,0,500,1,Winter,151
Gaming Keyboard,Gaming,2026-07-04,6139,0,209,6,Summer,84
External Hard Drive,Storage,2025-10-01,7348,0,419,9,Winter,81
Printer,Electronics,2025-12-15,16757,0,282,7,Summer,64
Laptop,Electronics,2025-04-25,53866,0,217,3,Summer,65
Smartphone,Electronics,2025-10-28,31274,20,336,5,Summer,104
Headphones,Accessories,2026-03-22,1161,5,311,2,Summer,130
Laptop,Electronics,2025-06-11,74877,5,106,7,Monsoon,59
Monitor,Electronics,2026-04-10,19038,15,195,1,Monsoon,100
Headphones,Accessories,2025-01-04,1520,15,335,2,Monsoon,132
External Hard Drive,Storage,2025-09-27,4759,15,299,2,Summer,133
Monitor,Electronics,2026-05-28,21853,0,348,2,Winter,62
Smartphone,Electronics,2025-07-02,49771,15,92,4,Summer,96
Smartphone,Electronics,2026-06-04,11918,5,52,2,Summer,107
Keyboard,Accessories,2025-04-19,2130,0,125,8,Monsoon,83
Wireless Mouse,Accessories,2025-11-02,550,20,125,9,Winter,180
Gaming Keyboard,Gaming,2026-06-04,2549,20,461,7,Summer,154
Gaming Keyboard,Gaming,2025-07-23,3293,15,437,2,Winter,152
Laptop,Electronics,2025-06-06,53753,20,211,3,Summer,105
External Hard Drive,Storage,2026-01-18,7167,15,136,6,Winter,120
Headphones,Accessories,2025-06-15,4379,20,498,5,Summer,138
Laptop,Electronics,2026-07-07,62299,15,133,3,Summer,63
Smartphone,Electronics,2026-06-28,12631,20,309,2,Monsoon,106
Laptop,Electronics,2025-01-01,74452,0,41,9,Summer,34
Laptop,Electronics,2026-09-06,71521,0,205,1,Monsoon,52
Keyboard,Accessories,2025-11-28,2933,0,117,10,Summer,78
External Hard Drive,Storage,2026-05-16,7900,15,339,2,Monsoon,95
Headphones,Accessories,2025-01-20,3959,10,279,5,Summer,126
Smartphone,Electronics,2025-04-25,30075,15,242,9,Summer,106
Smartphone,Electronics,2026-01-07,18224,10,412,9,Winter,115
Wireless Mouse,Accessories,2025-11-11,1212,5,243,5,Winter,148
Gaming Keyboard,Gaming,2025-09-03,3076,10,139,3,Summer,119
Keyboard,Accessories,2025-03-01,1095,20,60,7,Winter,153
Printer,Electronics,2025-09-04,7773,0,257,7,Monsoon,50
Gaming Keyboard,Gaming,2026-08-04,5033,15,452,1,Winter,124
Headphones,Accessories,2025-03-22,4573,10,481,6,Monsoon,126
Printer,Electronics,2025-03-29,17417,0,212,10,Summer,56
Laptop,Electronics,2026-05-13,44491,15,443,10,Summer,99
Keyboard,Accessories,2025-03-12,1685,20,56,5,Winter,147
Gaming Keyboard,Gaming,2026-06-30,3594,5,224,3,Monsoon,104
Monitor,Electronics,2025-05-09,10233,5,40,2,Summer,97
Wireless Mouse,Accessories,2025-05-12,1244,15,165,4,Summer,141
Smartphone,Electronics,2026-05-02,21251,5,167,5,Winter,120
Keyboard,Accessories,2026-07-17,1937,5,133,2,Winter,109
Smartphone,Electronics,2025-06-19,17717,15,104,8,Winter,115
Monitor,Electronics,2025-09-29,15656,10,499,9,Summer,74
Smartphone,Electronics,2026-06-25,45653,0,65,2,Summer,85
Keyboard,Accessories,2026-09-14,1362,10,102,4,Winter,142
Headphones,Accessories,2026-03-10,4624,5,272,5,Winter,118
External Hard Drive,Storage,2025-08-05,7490,20,240,4,Winter,124
Gaming Keyboard,Gaming,2026-07-07,2595,15,386,9,Monsoon,114
External Hard Drive,Storage,2025-07-25,8336,20,459,2,Summer,121
Monitor,Electronics,2025-11-16,19035,10,292,8,Winter,99
External Hard Drive,Storage,2026-02-13,6607,5,485,6,Winter,74
Laptop,Electronics,2026-01-18,45305,5,219,6,Winter,67
Monitor,Electronics,2026-03-25,8271,20,282,6,Monsoon,105
Gaming Keyboard,Gaming,2026-06-14,6767,20,103,2,Winter,133
Headphones,Accessories,2026-04-08,4547,20,413,2,Winter,141
Smartphone,Electronics,2025-05-04,34526,20,179,3,Winter,108
Printer,Electronics,2025-09-11,9049,20,415,2,Winter,122
Printer,Electronics,2025-08-19,12814,10,482,5,Summer,70
Laptop,Electronics,2025-03-07,75404,0,123,8,Monsoon,33
Keyboard,Accessories,2025-12-13,2499,5,284,9,Summer,98
Headphones,Accessories,2025-01-22,2700,0,121,1,Monsoon,135
Printer,Electronics,2026-08-26,14369,20,80,1,Summer,88
